Diez2018_DistrConnMap   human
Diez2018_DistrConnMapUnbiased   human
Diez2018_localDynConnMap    human
Diez2018_localDynConnMapUnbiased    human
Fahkry2015  mouse
Forest2017_blue  human
Forest2017_green human
Forest2017_pink  human
French2011_incoming  mouse
French2011_outgoing  mouse
French2015_inconsistent  human
Ji2014_allInjectionDriven_AID_ mouse
Ji2014_primaryInjectionDriven_PID_ mouse
Ko2013_astrocyte    mouse
Ko2013_neuron   mouse
Ko2013_oligodendrocyte  mouse
Kuncheva2017_Cluster1_REVIGOTop   human
Kuncheva2017_Cluster2_REVIGOTop   human
Kuncheva2017_Cluster3_REVIGOTop_1_InTopList_2    human
Liu2017_Autism    human
Liu2017_ChronicSZ human
Liu2017_MiddleInsularArea  human
Liu_bioRxiv_LeftHippocampus    human
Mills2018_BPNoDistCorr    mouse
Mills2018_DistCorr    mouse
Richiardi2015_Panther    human
Ritchie2018_T1T2neg human
Ritchie2018_T1T2pos human
Romme2016_top100_ConsensusPathDB  human
Romme2016_top100_PANTHER_raw_p_  human
Romme2016_top200_PANTHER_raw_p_  human
Romme2016_top540BF_PANTHER_rawP_isSig   human
Rubinov2015_S3_TopCategories  mouse
Rubinov2015_S4_bottom25perc   mouse
ForestReduced   human
ForestFull  human
French2011OE    mouse
French2011NE    mouse
French2015Consistent    human
French2015Inconsistent  human
ParkesPC1   human
ParkesPC2   human
ParkesPC5   human
ParkesPC9   human
Tan2013 human
Tan2013_Negative100_isSig human
Tan2013_Positive100_isSig human
Vertes2015_PLS1pos  human
Vertes2015_PLS2pos  human
Vertes2015_PLS3pos  human
Vertes2015_PLS1neg  human
Vertes2015_PLS2neg  human
Vertes2015_PLS3neg  human
WhitakerCompletePLS2pos human
WhitakerCompletePLS2neg human
WhitakerDiscoveryPLS2pos    human
WhitakerDiscoveryPLS2neg    human
WhitakerValidationPLS2pos   human
WhitakerValidationPLS2neg   human
Fulcher2016conn    mouse
Fulcher2016rich     mouse
